ydstogo,yardline_100,score_differential,game_seconds_remaining,distance_group,field_zone,score_state,time_state,decision,epa,wpa
11.0,11.0,-30.0,389.0,VERY_LONG,RED_ZONE,TRAILING,MID,GO,4.164882400189526,-0.0003881329030264169
10.0,30.0,22.0,148.0,LONG,OPPONENT_21_35,LEADING,LATE,FIELD_GOAL,1.0957010098041375,-0.0003926329081878066
3.0,68.0,0.0,3478.0,MEDIUM,OWN_TERRITORY,TIED,EARLY,PUNT,-1.2310555425938219,-0.03535759449005127
6.0,72.0,-7.0,3004.0,LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,0.09120887448079884,0.010095641016960144
6.0,58.0,7.0,2764.0,LONG,OWN_TERRITORY,LEADING,EARLY,PUNT,-0.25009634904563427,-0.0043983012437820435
8.0,14.0,-7.0,2571.0,LONG,RED_ZONE,TRAILING,EARLY,FIELD_GOAL,0.21582090640817553,0.022641688585281372
3.0,24.0,4.0,2339.0,MEDIUM,OPPONENT_21_35,LEADING,EARLY,GO,-3.5126483020721935,-0.07522109150886536
1.0,66.0,-4.0,2218.0,SHORT,OWN_TERRITORY,TRAILING,EARLY,PUNT,-1.3634528848342597,-0.04494273662567139
8.0,63.0,4.0,2163.0,LONG,OWN_TERRITORY,LEADING,EARLY,PUNT,-0.2904109307564795,-0.018788784742355347
18.0,84.0,-4.0,2079.0,VERY_LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,-0.2539978608256206,0.010102078318595886
2.0,24.0,4.0,1828.0,SHORT,OPPONENT_21_35,LEADING,EARLY,FIELD_GOAL,0.6115634055787065,0.00582025945186615
10.0,78.0,4.0,1781.0,LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.7887516575865448,0.011925101280212402
20.0,82.0,-11.0,1518.0,VERY_LONG,OWN_TERRITORY,TRAILING,MID,PUNT,1.4394250358454883,0.02598128467798233
9.0,57.0,11.0,1347.0,LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.6118806027807295,0.014514841139316559
2.0,69.0,-11.0,1253.0,SHORT,OWN_TERRITORY,TRAILING,MID,PUNT,-0.0991617888212204,-0.008765541017055511
18.0,32.0,11.0,900.0,VERY_LONG,OPPONENT_21_35,LEADING,MID,FIELD_GOAL,-3.3916667499740667,-0.046706631779670715
19.0,84.0,5.0,651.0,VERY_LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.5942695017438382,0.015555143356323242
14.0,57.0,-3.0,458.0,VERY_LONG,OWN_TERRITORY,TRAILING,MID,PUNT,-1.0537154225166887,-0.06469464302062988
